Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch4_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch2_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch1_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch5_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch3_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/ch_i_200[4]_312[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/ch_i_200[0]_304[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/ch_i_200[1]_306[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/ch_i_200[2]_308[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/ch_i_200[3]_310[31:0]
0,0,0,0003c0ca,000636be,00021a70,0005561c,0004d240,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
1,1,0,0003c0ca,000636be,00021a70,0005561c,0004d240,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
2,2,0,0003c0ca,000636be,00021a70,0005561c,0004d240,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
3,3,0,0003c0ca,000636be,00021a70,0005561c,0004d240,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
4,4,0,0003c0ca,000636be,00021a70,0005561c,0004d240,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
5,5,0,0003c0ca,000636be,00021a70,0005561c,0004d240,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
6,6,0,0003c0ca,000636be,00021a70,0005561c,0004d240,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
7,7,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
8,8,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
9,9,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
10,10,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
11,11,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
12,12,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
13,13,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
14,14,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
15,15,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
16,16,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
17,17,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
18,18,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
19,19,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
20,20,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
21,21,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
22,22,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
23,23,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
24,24,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
25,25,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
26,26,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
27,27,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
28,28,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
29,29,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
30,30,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
31,31,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
32,32,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
33,33,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
34,34,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
35,35,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
36,36,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
37,37,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
38,38,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
39,39,0,0003566c,0007b1bc,0000dd36,00045f9c,0003c408,fffd7e99,0018e507,ffcbc521,0001196d,fffa2cb9
