Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/ZynqBF_2t_ip_0/U0/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/ch1i_rfclk[15:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/U0/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/ch2i_rfclk[15:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/U0/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/ch1q_rfclk[15:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/U0/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/ch2q_rfclk[15:0]
0,0,0,001d,0038,0020,ffff
1,1,0,001d,0038,0020,ffff
2,2,0,001d,0038,0020,ffff
3,3,0,001d,0038,0020,ffff
4,4,0,001d,0038,0020,ffff
5,5,0,001d,0038,0020,ffff
6,6,0,001d,0038,0020,ffff
7,7,0,001d,0038,0020,ffff
8,8,0,001d,0038,0020,ffff
9,9,0,001d,0038,0020,ffff
10,10,0,001d,0038,0020,ffff
11,11,0,001d,0038,0020,ffff
12,12,0,001d,0038,0020,ffff
13,13,0,001d,0038,0020,ffff
14,14,0,001d,0038,0020,ffff
15,15,0,001d,0038,0020,ffff
16,16,0,001d,0038,0020,ffff
17,17,0,001d,0038,0020,ffff
18,18,0,001d,0038,0020,ffff
19,19,0,001d,0038,0020,ffff
20,20,0,001d,0038,0020,ffff
21,21,0,001d,0038,0020,ffff
22,22,0,001d,0038,0020,ffff
23,23,0,001d,0038,0020,ffff
24,24,0,001d,0038,0020,ffff
25,25,0,001d,0038,0020,ffff
26,26,0,001d,0038,0020,ffff
27,27,0,001d,0038,0020,ffff
28,28,0,001d,0038,0020,ffff
29,29,0,001d,0038,0020,ffff
30,30,0,001d,0038,0020,ffff
31,31,0,001d,0038,0020,ffff
32,32,0,001d,0038,0020,ffff
33,33,0,001d,0038,0020,ffff
34,34,0,001d,0038,0020,ffff
35,35,0,001d,0038,0020,ffff
36,36,0,001d,0038,0020,ffff
37,37,0,001d,0038,0020,ffff
38,38,0,001d,0038,0020,ffff
39,39,0,001d,0038,0020,ffff
40,40,0,001d,0038,0020,ffff
41,41,0,001d,0038,0020,ffff
42,42,0,001d,0038,0020,ffff
43,43,0,001d,0038,0020,ffff
44,44,0,001d,0038,0020,ffff
45,45,0,001d,0038,0020,ffff
46,46,0,001d,0038,0020,ffff
47,47,0,001d,0038,0020,ffff
48,48,0,001d,0038,0020,ffff
49,49,0,001d,0038,0020,ffff
50,50,0,001d,0038,0020,ffff
51,51,0,001d,0038,0020,ffff
52,52,0,001d,0038,0020,ffff
53,53,0,001d,0038,0020,ffff
54,54,0,001d,0038,0020,ffff
55,55,0,001d,0038,0020,ffff
56,56,0,001d,0038,0020,ffff
57,57,0,001d,0038,0020,ffff
58,58,0,001d,0038,0020,ffff
59,59,0,001d,0038,0020,ffff
60,60,0,001d,0038,0020,ffff
61,61,0,001d,0038,0020,ffff
62,62,0,001d,0038,0020,ffff
63,63,0,001d,0038,0020,ffff
64,64,0,001d,0038,0020,ffff
65,65,0,001d,0038,0020,ffff
