Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/ZynqBF_2t_ip_0/U0/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch1_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/U0/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch2_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/U0/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch3_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/U0/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch4_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/U0/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch5_corr_probe[31:0]
0,0,0,11317,65879,127004,14850,5461
1,1,0,11317,65879,127004,14850,5461
2,2,0,11317,65879,127004,14850,5461
3,3,0,11317,65879,127004,14850,5461
4,4,0,11317,65879,127004,14850,5461
5,5,0,11317,65879,127004,14850,5461
6,6,0,11317,65879,127004,14850,5461
7,7,0,11317,65879,127004,14850,5461
8,8,0,11317,65879,127004,14850,5461
9,9,0,11317,65879,127004,14850,5461
10,10,0,11317,65879,127004,14850,5461
11,11,0,11317,65879,127004,14850,5461
12,12,0,11317,65879,127004,14850,5461
13,13,0,11317,65879,127004,14850,5461
14,14,0,6571,63489,111071,16127,12876
15,15,0,6571,63489,111071,16127,12876
16,16,0,6571,63489,111071,16127,12876
17,17,0,6571,63489,111071,16127,12876
18,18,0,6571,63489,111071,16127,12876
19,19,0,6571,63489,111071,16127,12876
20,20,0,6571,63489,111071,16127,12876
21,21,0,6571,63489,111071,16127,12876
22,22,0,6571,63489,111071,16127,12876
23,23,0,6571,63489,111071,16127,12876
24,24,0,6571,63489,111071,16127,12876
25,25,0,6571,63489,111071,16127,12876
26,26,0,6571,63489,111071,16127,12876
27,27,0,6571,63489,111071,16127,12876
28,28,0,6571,63489,111071,16127,12876
29,29,0,6571,63489,111071,16127,12876
30,30,0,6571,63489,111071,16127,12876
31,31,0,6571,63489,111071,16127,12876
32,32,0,6571,63489,111071,16127,12876
33,33,0,6571,63489,111071,16127,12876
34,34,0,6571,63489,111071,16127,12876
35,35,0,6571,63489,111071,16127,12876
36,36,0,6571,63489,111071,16127,12876
37,37,0,6571,63489,111071,16127,12876
38,38,0,6571,63489,111071,16127,12876
39,39,0,6571,63489,111071,16127,12876
40,40,0,6571,63489,111071,16127,12876
41,41,0,6571,63489,111071,16127,12876
42,42,0,6571,63489,111071,16127,12876
43,43,0,6571,63489,111071,16127,12876
44,44,0,6571,63489,111071,16127,12876
45,45,0,6571,63489,111071,16127,12876
46,46,0,6571,63489,111071,16127,12876
47,47,0,6571,63489,111071,16127,12876
48,48,0,6571,63489,111071,16127,12876
49,49,0,6571,63489,111071,16127,12876
50,50,0,6571,63489,111071,16127,12876
51,51,0,6571,63489,111071,16127,12876
52,52,0,6571,63489,111071,16127,12876
53,53,0,6571,63489,111071,16127,12876
54,54,0,6571,63489,111071,16127,12876
55,55,0,6571,63489,111071,16127,12876
56,56,0,6571,63489,111071,16127,12876
57,57,0,6571,63489,111071,16127,12876
58,58,0,6571,63489,111071,16127,12876
59,59,0,6571,63489,111071,16127,12876
60,60,0,6571,63489,111071,16127,12876
61,61,0,6571,63489,111071,16127,12876
62,62,0,6571,63489,111071,16127,12876
63,63,0,6571,63489,111071,16127,12876
64,64,0,6571,63489,111071,16127,12876
65,65,0,6571,63489,111071,16127,12876
66,66,0,6571,63489,111071,16127,12876
67,67,0,6571,63489,111071,16127,12876
68,68,0,6571,63489,111071,16127,12876
69,69,0,6571,63489,111071,16127,12876
70,70,0,6571,63489,111071,16127,12876
71,71,0,6571,63489,111071,16127,12876
72,72,0,6571,63489,111071,16127,12876
73,73,0,6571,63489,111071,16127,12876
74,74,0,6571,63489,111071,16127,12876
75,75,0,6571,63489,111071,16127,12876
76,76,0,6571,63489,111071,16127,12876
77,77,0,6571,63489,111071,16127,12876
78,78,0,6571,63489,111071,16127,12876
79,79,0,6571,63489,111071,16127,12876
80,80,0,6571,63489,111071,16127,12876
81,81,0,6571,63489,111071,16127,12876
82,82,0,6571,63489,111071,16127,12876
83,83,0,6571,63489,111071,16127,12876
84,84,0,6571,63489,111071,16127,12876
85,85,0,6571,63489,111071,16127,12876
86,86,0,6571,63489,111071,16127,12876
87,87,0,6571,63489,111071,16127,12876
88,88,0,6571,63489,111071,16127,12876
89,89,0,6571,63489,111071,16127,12876
90,90,0,6571,63489,111071,16127,12876
