Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch1_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch2_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch3_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch5_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch4_corr_probe[31:0]
0,0,0,00015aa8,00073f42,00031c9c,000598c4,0002b276
1,1,0,00015aa8,00073f42,00031c9c,000598c4,0002b276
2,2,0,00015aa8,00073f42,00031c9c,000598c4,0002b276
3,3,0,00015aa8,00073f42,00031c9c,000598c4,0002b276
4,4,0,00015aa8,00073f42,00031c9c,000598c4,0002b276
5,5,0,00015aa8,00073f42,00031c9c,000598c4,0002b276
6,6,0,00015aa8,00073f42,00031c9c,000598c4,0002b276
7,7,0,00015aa8,00073f42,00031c9c,000598c4,0002b276
8,8,0,00015aa8,00073f42,00031c9c,000598c4,0002b276
9,9,0,00015aa8,00073f42,00031c9c,000598c4,0002b276
10,10,0,00015aa8,00073f42,00031c9c,000598c4,0002b276
11,11,0,00015aa8,00073f42,00031c9c,000598c4,0002b276
12,12,0,00015aa8,00073f42,00031c9c,000598c4,0002b276
13,13,0,00015aa8,00073f42,00031c9c,000598c4,0002b276
14,14,0,00015aa8,00073f42,00031c9c,000598c4,0002b276
15,15,0,00015aa8,00073f42,00031c9c,000598c4,0002b276
16,16,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
